Období;1. Nefinanční podniky - do 1 roku;2. Nefinanční podniky - od 1 roku do 5 let;3. Nefinanční podniky - nad 5 let;4. Nefinanční podniky - celkem;4.1 z toho: Nefinanční podniky - syndikované úvěry - celkem;5 .Domácnosti - úvěry na spotřebu - do 1 roku;6. Domácnosti - úvěry na spotřebu - od 1 roku do 5 let;7. Domácnosti - úvěry na spotřebu - nad 5 let;8. Domácnosti - úvěry na spotřebu - celkem;9. Domácnosti - úvěry na bydlení - do 1 roku;10. Domácnosti - úvěry na bydlení - od 1 roku do 5 let;11. Domácnosti - úvěry na bydlení - nad 5 let;12. Domácnosti - úvěry na bydlení - celkem;13. Domácnosti - ostatní úvěry - do 1 roku;14. Domácnosti - ostatní úvěry - od 1 roku do 5 let;15. Domácnosti - ostatní úvěry - nad 5 let;16. Domácnosti - ostatní úvěry - celkem;17. Domácnosti - celkem;18. Fin. instituce jiné než měnové (bez poj.spol. a penzijních fondů) - celkem;19. Fin. instituce jiné než měnové (bez poj. spol. a penzijních fondů) - do 1 roku;20. Pojišťovací společnosti a penzijní fondy - celkem;21. Pojišťovací společnosti a penzijní fondy -  do 1 roku;22. Vládní instituce - celkem;23. Ústřední vládní instituce - celkem;24. Ostatní vládní instituce  - celkem;
2023-08-31;278327,1;327487,1;723320,8;1329135,1;242345,8;25235,2;33403,3;262435,3;321073,7;1122,1;2268,4;1723440,7;1726831,2;10128,3;8310,9;155897,2;174336,4;2222241,4;329027,7;81276,3;1795,8;1354,4;64544,2;1221,9;63322,3;
2023-07-31;280722,9;323410,6;717392,3;1321525,7;240615,6;24964,5;33357;260632,6;318954,1;1132,6;2276,1;1718078,6;1721487,4;10342,1;8349;155115,4;173806,4;2214247,8;332104,1;83969,9;1727,7;1286,3;64648,8;2211,4;62437,4;
2023-06-30;279886,8;306355;713164,9;1299406,8;230346,2;24568,3;33232,4;259260,4;317061,1;1129,9;2249;1715540,1;1718919;10193,8;8433,8;154466,5;173094,2;2209074,3;331457;86448,6;2064,7;1623,3;64930,6;2231,2;62699,4;
2023-05-31;288180,2;293294,4;708600;1290074,6;219772,2;25026,5;32905,6;257260;315192;1141,5;2226,6;1710931,9;1714300,1;10035,5;8214,9;153525;171775,4;2201267,5;324261;82241,9;2097,4;1656;60999,6;2252,6;58747;
2023-04-30;289342,2;294923,7;700929,1;1285195;214374,4;24245,7;32671,1;255155,3;312072,2;1136,8;2220,7;1706427,7;1709785,3;9918,7;8252,2;152826,8;170997,7;2192855,2;323119;86614,8;2171,9;1730,5;61208,8;2280,1;58928,8;
2023-03-31;284478,5;284792,2;695411,9;1264682,7;208322,5;25083,6;32044,5;249828,8;306956,9;1122,3;2188,6;1681905,6;1685216,5;9893,5;8204,8;151345,9;169444,2;2161617,5;329688,9;91251;2270,4;1828,9;61390,4;2497,9;58892,5;
2023-02-28;280371,7;273336;703908,8;1257616,5;204245,3;22612,7;33339,6;247956,9;303909,3;1119;2217,8;1676992,4;1680329,2;10122,4;8218,6;151119,1;169460,1;2153698,5;321367,4;85163,5;2465,9;2024,5;68279,1;8692,3;59586,8;
2023-01-31;283742,3;276773,8;703965,5;1264481,6;206056,7;22849,2;33964;245785,8;302599;1104,4;2254;1673512,1;1676870,5;10051,9;8293,8;151394,8;169740,5;2149209,9;322307,8;92990,9;2621;2179,6;62405,4;2765,1;59640,4;
2022-12-31;275551,5;264852,9;704092,2;1244496,6;202505;23493,9;33985,7;244919,4;302399,1;1111,2;2270,8;1670772,4;1674154,4;10307,3;8403,7;151546;170257;2146810,5;314884,5;79963,3;2541,4;2099,9;62207,1;3022,3;59184,8;
2022-11-30;316589,7;267959,8;704904,9;1289454,3;203518;23261,5;34237,9;244606,3;302105,7;1168,1;2280,4;1666035,9;1669484,3;10265,2;8652,9;151311,8;170229,9;2141819,9;318786;84067,9;2313,1;1871,6;64831,7;6736,5;58095,2;
