Datum;HDP
31.03.1996;736715
30.06.1996;741607
30.09.1996;745481
31.12.1996;745753
31.03.1997;742387
30.06.1997;740703
30.09.1997;736395
31.12.1997;734113
31.03.1998;734071
30.06.1998;736083
30.09.1998;736336
31.12.1998;736816
31.03.1999;736969
30.06.1999;740364
30.09.1999;747164
31.12.1999;755571
31.03.2000;765590
30.06.2000;772896
30.09.2000;782933
31.12.2000;786657
31.03.2001;795988
30.06.2001;797832
30.09.2001;801278
31.12.2001;807214
31.03.2002;805629
30.06.2002;809669
30.09.2002;814827
31.12.2002;820229
31.03.2003;828888
30.06.2003;837607
30.09.2003;846615
31.12.2003;853498
31.03.2004;862594
30.06.2004;873243
30.09.2004;885921
31.12.2004;902475
31.03.2005;917981
30.06.2005;932001
30.09.2005;945919
31.12.2005;963412
31.03.2006;981136
30.06.2006;1000215
30.09.2006;1012336
31.12.2006;1025993
31.03.2007;1043549
30.06.2007;1052018
30.09.2007;1066808
31.12.2007;1080718
31.03.2008;1085802
30.06.2008;1093628
30.09.2008;1096337
31.12.2008;1074676
31.03.2009;1038686
30.06.2009;1034722
30.09.2009;1039674
31.12.2009;1040388
31.03.2010;1047542
30.06.2010;1060327
30.09.2010;1068100
31.12.2010;1072888
31.03.2011;1079036
30.06.2011;1082476
30.09.2011;1080469
31.12.2011;1081586
31.03.2012;1079751
30.06.2012;1073962
30.09.2012;1070085
31.12.2012;1068774
31.03.2013;1064234
30.06.2013;1068141
30.09.2013;1072730
31.12.2013;1085685
31.03.2014;1079739
30.06.2014;1089832
30.09.2014;1102788
31.12.2014;1115431
31.03.2015;1136561
30.06.2015;1151996
30.09.2015;1165939
31.12.2015;1172859
31.03.2016;1174705
30.06.2016;1178598
30.09.2016;1189163
31.12.2016;1198336
31.03.2017;1218111
30.06.2017;1248318
30.09.2017;1258749
31.12.2017;1268986
31.03.2018;1275860
30.06.2018;1283537
30.09.2018;1292683
31.12.2018;1302233
31.03.2019;1314109
30.06.2019;1322957
30.09.2019;1331842
31.12.2019;1338280
31.03.2020;1294885
30.06.2020;1180304
30.09.2020;1262373
31.12.2020;1276771
31.03.2021;1270186
30.06.2021;1288058
30.09.2021;1309940
31.12.2021;1321033
31.03.2022;1329231
30.06.2022;1335230
