DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2014-12,98.8,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2015-01,99.2,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2015-02,99.9,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2015-03,97.1,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2015-04,99.6,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2015-05,98.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2015-06,100.2,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2015-07,100.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2015-08,101.3,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2015-09,101.2,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2015-10,101.2,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2015-11,100.9,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2015-12,99.9,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2016-01,101.1,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2016-02,101.6,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2016-03,101.6,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2016-04,98.5,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2016-05,100.9,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2016-06,101.4,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2016-07,101.3,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2016-08,101.8,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2016-09,101.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2016-10,100.9,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2016-11,101.9,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2016-12,101.5,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2017-01,102.5,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2017-02,102.3,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2017-03,102.1,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2017-04,101.9,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2017-05,101.2,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2017-06,100.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2017-07,101.0,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2017-08,101.6,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2017-09,101.1,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2017-10,101.5,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2017-11,102.0,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2017-12,102.1,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2018-01,99.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2018-02,101.4,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2018-03,101.2,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2018-04,100.9,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2018-05,99.8,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2018-06,100.5,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2018-07,101.0,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2018-08,99.0,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2018-09,100.8,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2018-10,100.0,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2018-11,101.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2018-12,101.3,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2019-01,98.6,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2019-02,100.8,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2019-03,99.4,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2019-04,103.0,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2019-05,103.4,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2019-06,105.3,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2019-07,105.6,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2019-08,101.9,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2019-09,103.3,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2019-10,102.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2019-11,105.3,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2019-12,107.2,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2020-01,103.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2020-02,106.2,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2020-03,106.0,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2020-04,110.0,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2020-05,111.1,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2020-06,108.3,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2020-07,109.3,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2020-08,108.5,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2020-09,110.9,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2020-10,109.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2020-11,105.2,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2020-12,109.1,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01111,CZ,2021-01,108.7,
