Mzda,vzdel
12951,1
16263,1
16148,1
14432,1
10523,1
11746,1
13014,1
13591,1
18412,1
15130,1
12005,1
11308,1
13024,1
13005,1
12780,1
14107,1
11819,1
14474,1
11128,1
13154,1
14358,1
13870,1
15211,1
13489,1
14610,1
15775,1
12221,1
11034,1
13696,1
13132,1
12517,1
12736,1
12304,1
15057,1
15907,1
15587,1
12744,1
16080,1
13044,1
17119,1
14724,1
12697,1
11939,1
11270,1
11472,1
10475,1
15916,1
15267,1
13148,1
14135,1
12850,1
18486,1
12012,1
13493,1
14103,1
14839,1
13258,1
9155,1
11076,1
14320,1
13581,1
11722,1
13371,1
11973,1
14088,1
10753,1
14335,1
14100,1
13734,1
13641,1
14118,1
12305,1
13365,1
14931,1
15805,1
13891,1
13367,1
11779,1
10728,1
12009,1
16111,1
15147,1
13164,1
12753,1
12765,1
15597,1
13051,1
16115,1
14896,1
16202,1
11856,1
13620,1
11841,1
14796,1
13842,1
13039,1
16515,1
14061,1
15596,1
15167,1
12049,1
12371,1
13696,1
11342,1
14756,1
11042,1
16854,1
12602,1
16960,1
12778,1
11658,1
13654,1
13658,1
10243,1
15711,1
11364,1
14274,1
14593,1
13879,1
13365,1
13998,1
11466,1
11997,1
11375,1
16763,1
21468,2
17145,2
11911,2
16213,2
21517,2
14561,2
19019,2
12817,2
18639,2
12881,2
11915,2
12877,2
13182,2
13039,2
18820,2
16466,2
15093,2
12423,2
12670,2
13539,2
12307,2
14657,2
17877,2
12094,2
21372,2
11636,2
15888,2
24520,2
19343,2
15343,2
13196,2
18265,2
16182,2
14914,2
17339,2
14515,2
25531,2
22107,2
18955,2
18722,2
14326,2
19326,2
15006,2
12698,2
22817,2
12975,2
15196,2
14074,2
12911,2
18322,2
10893,2
15504,2
14216,2
11360,2
15980,2
14718,2
14153,2
19660,2
18089,2
15909,2
16774,2
13645,2
15521,2
20084,2
16167,2
16792,2
23313,2
13763,2
19589,2
22493,2
12501,2
16288,2
14861,2
14508,2
12566,2
13089,2
20669,2
18304,2
18941,2
21677,2
14947,2
19084,2
16014,2
14471,2
19467,2
16355,2
12494,2
15391,2
21459,2
20329,2
11124,2
16559,2
19193,2
10541,2
21156,2
14330,2
17201,2
15547,2
21743,2
11062,2
15720,2
12890,2
17649,2
24028,2
10925,2
16010,2
15711,2
21622,2
12790,2
17964,2
22165,2
15313,2
13755,2
15662,2
17981,2
12679,2
21878,2
16246,2
6059,2
12351,2
21642,2
12807,2
15871,2
16375,2
10637,2
17944,2
17702,2
22785,2
19847,2
16512,2
15937,2
18347,2
13120,2
16595,2
17461,2
18152,2
12256,2
21344,2
18683,2
25001,2
9611,2
14162,2
10225,2
14753,2
17311,2
22185,2
14674,2
12031,2
15150,2
18400,2
16863,2
20840,2
15180,2
10457,2
19556,2
12330,2
18385,2
18023,2
17519,2
22260,2
15504,2
11626,2
16448,2
15414,2
18449,2
21947,2
9897,2
15477,2
16472,2
18150,2
13787,2
17593,2
17561,2
16183,2
15790,2
21360,2
18585,2
23073,2
15284,2
11870,2
14841,2
16567,2
15392,2
14785,2
10706,2
13436,2
12389,2
17305,2
17433,2
21615,2
15073,2
19545,2
14549,2
10924,2
17747,2
14408,2
13305,2
13578,2
20039,2
21730,2
19752,2
15270,2
11642,2
17005,2
20123,2
19157,2
17327,2
17004,2
13273,2
17779,2
16421,2
16464,2
15519,2
12173,2
14151,2
18907,2
16362,2
16277,2
15574,2
21128,2
16291,2
17098,2
16748,2
12855,2
15993,2
20730,2
17829,2
11144,2
16497,2
18186,2
15964,2
18965,2
15622,2
12546,2
18779,2
17145,2
18129,2
19870,2
16917,2
10522,2
16650,2
10495,2
14367,2
19564,2
10204,2
16598,2
14096,2
15172,2
19643,2
17822,2
20756,2
12260,2
13183,2
13584,2
15772,2
12720,2
13356,2
12815,2
18341,2
18147,2
19434,2
25541,2
15595,2
18624,2
27658,2
18188,2
15984,2
12822,2
14313,2
10316,2
10723,2
14809,2
17344,2
16367,2
14861,2
9859,2
18533,2
17835,2
21884,2
9729,2
15222,2
22352,2
16633,2
21071,2
18236,2
16704,2
19426,2
9923,2
15036,2
18348,2
20920,2
18912,2
16904,2
20218,2
16275,2
12357,2
16138,2
15653,2
17521,2
14893,2
18511,2
23441,2
9938,2
18270,2
13696,2
14024,2
9869,2
15318,2
17397,2
11231,2
23011,2
13568,2
8250,2
15827,2
24457,2
21813,2
20697,2
18987,2
17841,2
14693,2
10949,2
8446,2
12101,2
9986,2
12768,2
18776,2
13130,2
10841,2
12571,2
10213,2
19039,2
10970,2
15717,2
18254,2
20431,2
22855,2
10065,2
19462,2
14278,2
15594,2
21292,2
14101,2
18604,2
15899,2
14511,2
21163,2
15440,2
15482,2
18663,2
19429,2
12994,2
20240,2
14000,2
13123,2
8060,2
15717,2
17335,2
13750,2
20574,2
18397,2
16576,2
22553,2
10967,2
17226,2
19186,2
12742,2
15327,2
16031,2
14668,2
16470,2
15685,2
13317,2
18891,2
14208,2
14034,2
17911,2
22159,2
10062,2
16919,2
17617,2
16328,2
25187,2
20626,2
14355,2
14038,2
19424,2
19751,2
18744,2
14110,2
18113,2
15957,2
22701,2
13234,2
16340,2
12638,2
12788,2
16240,2
15409,2
14480,2
21650,2
16532,2
20841,2
12792,2
15366,2
11312,2
21269,2
12791,2
21386,2
12757,2
15895,2
6163,2
15362,2
16278,2
9509,2
15219,2
15013,2
9787,2
19371,2
11981,2
15460,2
18201,2
14387,2
18831,2
16677,2
21435,2
13907,2
12164,2
17482,2
15544,2
15193,2
17964,2
17923,2
16292,2
18448,2
18867,2
19144,2
19606,2
20755,2
15748,2
14686,2
11931,2
15394,2
17245,3
23266,3
20521,3
18907,3
17018,3
21689,3
18728,3
15750,3
15070,3
26371,3
18368,3
17986,3
20103,3
18827,3
19418,3
20009,3
18702,3
16493,3
24632,3
20926,3
14918,3
25043,3
13586,3
19610,3
20121,3
17193,3
22710,3
14641,3
28252,3
23069,3
29065,3
24314,3
13820,3
24330,3
23435,3
26034,3
26253,3
23478,3
24258,3
18803,3
28544,3
13478,3
12953,3
15603,3
25509,3
16431,3
19687,3
21788,3
19238,3
12034,3
26670,3
21070,3
23802,3
21438,3
19029,3
28232,3
25085,3
14636,3
16208,3
27272,3
17340,3
21486,3
14989,3
24511,3
24089,3
20199,3
28409,3
19117,3
20102,3
26372,3
23479,3
25249,3
28013,3
22513,3
24338,3
18530,3
23506,3
20024,3
27158,3
21201,3
21551,3
21399,3
12260,3
16948,3
30253,3
24595,3
21594,3
20702,3
20685,3
23390,3
24929,3
17000,3
20778,3
15762,3
19485,3
23705,3
14904,3
26003,3
26719,3
21369,3
22624,3
27455,3
18789,3
17199,3
16231,3
17027,3
18214,3
23089,3
17170,3
20181,3
22111,3
15617,3
27801,3
27372,3
13293,3
19237,3
19736,3
22176,3
16137,3
19723,3
24940,3
25876,3
22447,3
22931,3
18503,3
19421,3
26643,3
21708,3
18344,3
28770,3
18784,3
26500,3
24031,3
23122,3
20017,3
25404,3
14027,3
16967,3
20317,3
22118,3
21875,3
20122,3
20096,3
23528,3
18434,3
11559,3
21433,3
25299,3
25827,3
20103,3
21141,3
28219,3
18519,3
20826,3
23599,3
18512,3
19328,3
23968,3
18160,3
23467,3
16025,3
12334,3
24204,3
20818,3
19458,3
19068,3
25881,3
16531,3
25735,3
16740,3
20795,3
20449,3
23997,3
13421,3
20262,3
20792,3
23925,3
26466,3
16996,3
22887,3
23431,3
26742,3
21017,3
26577,3
21806,3
20088,3
23721,3
22690,3
23146,3
25937,3
20129,3
20347,3
20499,3
26242,3
30192,3
25756,3
26088,3
29375,3
18843,3
14799,3
16419,3
22560,3
21521,3
9194,3
26749,3
20427,3
21160,3
23245,3
15523,3
18235,3
26068,3
30293,3
