"id_s","id_cv","typ","body"
1,1,1,13
2,1,1,17
3,1,1,12
4,1,1,18
5,1,1,16
6,1,1,18
7,1,1,6
8,1,1,7
9,1,1,14
10,1,1,1
11,1,1,5
12,1,1,18
13,1,1,16
14,1,1,13
15,1,1,18
16,1,1,14
17,1,1,16
18,1,1,15
19,1,1,17
20,1,1,6
21,2,1,5
22,2,1,15
23,2,1,16
24,2,1,19
25,2,1,17
26,2,1,12
27,2,1,12
28,2,1,14
29,2,1,19
30,2,1,19
31,2,1,15
32,2,1,19
33,2,1,14
34,2,1,8
35,2,1,5
36,2,1,20
37,2,1,2
38,2,1,12
39,2,1,18
40,2,1,17
41,3,1,8
42,3,1,12
43,3,1,6
44,3,1,11
45,3,1,6
46,3,1,4
47,3,1,9
48,3,1,15
49,3,1,6
50,3,1,16
51,3,1,16
52,3,1,12
53,3,1,19
54,3,1,14
55,3,1,18
56,3,1,15
57,3,1,17
58,3,1,18
59,3,1,19
60,3,1,16
61,4,1,14
62,4,1,19
63,4,1,17
64,4,1,17
65,4,1,12
66,4,1,18
67,4,1,19
68,4,1,14
69,4,1,16
70,4,1,19
71,4,1,19
72,4,1,10
73,4,1,13
74,4,1,15
75,4,1,10
76,4,1,4
77,4,1,17
78,4,1,15
79,4,1,7
80,4,1,18
81,5,1,17
82,5,1,10
83,5,1,15
84,5,1,17
85,5,1,16
86,5,1,10
87,5,1,13
88,5,1,15
89,5,1,17
90,5,1,19
91,5,1,6
92,5,1,0
93,5,1,17
94,5,1,5
95,5,1,16
96,5,1,8
97,5,1,16
98,5,1,15
99,5,1,11
100,5,1,0
101,6,1,5
102,6,1,9
103,6,1,18
104,6,1,18
105,6,1,15
106,6,1,18
107,6,1,17
108,6,1,19
109,6,1,18
110,6,1,16
111,6,1,17
112,6,1,15
113,6,1,19
114,6,1,17
115,6,1,17
116,6,1,17
117,6,1,11
118,6,1,14
119,6,1,13
120,6,1,13
121,7,1,11
122,7,1,14
123,7,1,13
124,7,1,17
125,7,1,8
126,7,1,14
127,7,1,17
128,7,1,16
129,7,1,13
130,7,1,4
131,7,1,17
132,7,1,16
133,7,1,16
134,7,1,19
135,7,1,5
136,7,1,18
137,7,1,18
138,7,1,16
139,7,1,15
140,7,1,12
141,8,1,11
142,8,1,15
143,8,1,4
144,8,1,13
145,8,1,17
146,8,1,16
147,8,1,13
148,8,1,15
149,8,1,16
150,8,1,18
151,8,1,18
152,8,1,11
153,8,1,18
154,8,1,15
155,8,1,17
156,8,1,15
157,8,1,18
158,8,1,17
159,8,1,12
160,8,1,12
161,9,1,17
162,9,1,13
163,9,1,14
164,9,1,1
165,9,1,8
166,9,1,13
167,9,1,19
168,9,1,10
169,9,1,19
170,9,1,12
171,9,1,16
172,9,1,14
173,9,1,16
174,9,1,16
175,9,1,19
176,9,1,13
177,9,1,19
178,9,1,7
179,9,1,6
180,9,1,17
181,10,1,15
182,10,1,8
183,10,1,17
184,10,1,9
185,10,1,14
186,10,1,8
187,10,1,14
188,10,1,17
189,10,1,5
190,10,1,18
191,10,1,12
192,10,1,13
193,10,1,18
194,10,1,19
195,10,1,15
196,10,1,9
197,10,1,13
198,10,1,17
199,10,1,16
200,10,1,17
201,11,1,12
202,11,1,18
203,11,1,9
204,11,1,13
205,11,1,14
206,11,1,10
207,11,1,16
208,11,1,11
209,11,1,9
210,11,1,20
211,11,1,14
212,11,1,16
213,11,1,14
214,11,1,3
215,11,1,0
216,11,1,0
217,11,1,18
218,11,1,14
219,11,1,14
220,11,1,15
221,12,1,18
222,12,1,16
223,12,1,11
224,12,1,8
225,12,1,14
226,12,1,14
227,12,1,14
228,12,1,20
229,12,1,15
230,12,1,15
231,12,1,20
232,12,1,17
233,12,1,13
234,12,1,17
235,12,1,18
236,12,1,13
237,12,1,15
238,12,1,15
239,12,1,14
240,12,1,14
241,13,1,10
242,13,1,14
243,13,1,8
244,13,1,18
245,13,1,14
246,13,1,12
247,13,1,16
248,13,1,15
249,13,1,14
250,13,1,16
251,13,1,19
252,13,1,17
253,13,1,15
254,13,1,15
255,13,1,17
256,13,1,18
257,13,1,12
258,13,1,12
259,13,1,1
260,13,1,18
261,14,1,14
262,14,1,17
263,14,1,6
264,14,1,18
265,14,1,14
266,14,1,18
267,14,1,12
268,14,1,14
269,14,1,13
270,14,1,16
271,14,1,16
272,14,1,12
