;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Belgium;124095;127205;127198;130100;128705;128051;125606;125014;122274;121896;119690;118319;117695;114350;118349
Bulgaria;75349;77712;80956;75513;70846;69121;66578;67585;65950;64984;63955;62197;61538;59086;58678
Czechia;114632;119570;118348;117153;108673;108576;106751;109860;110764;112663;114405;114036;112231;110200;111793
Denmark;64082;65038;62818;63411;58998;57916;55873;56870;58205;61614;61397;61476;61167;60937;63473
Germany;684862;682514;665126;677947;662685;673544;682069;714927;737575;792141;784901;787523;778090;773144;795492
Estonia;15775;16028;15763;15825;14679;14056;13531;13551;13907;14053;13784;14367;14099;13209;13272
Ireland;71389;75173;75554;75174;74033;71674;68954;67295;65536;63841;61824;61022;59289;55959;60553
Greece;111926;118302;117933;114766;106428;100371;94134;92149;91847;92898;88553;86440;83763;84764;85346
Spain;491138;518503;493717;485252;470553;453348;424440;426076;418432;408734;391265;370827;358747;340635;336823
France;819605;829311;825564;833654;824263;821844;812343;819328;799671;784325;770045;759199;754008;735775;742602
Croatia;41910;43753;44577;43361;41197;41771;39939;39566;37503;37537;36556;36945;36135;35845;36508
Italy;563933;576659;568857;561944;546585;534186;514308;502596;485780;473438;458151;439747;420084;404892;400249
Cyprus;8575;9205;9608;9801;9622;10161;9341;9258;9170;9455;9229;9329;9548;9930;10309
Latvia;23958;24397;22044;19781;18825;19897;20596;21746;21979;21968;20828;19314;18786;17552;17420
Lithuania;30020;31536;32165;30676;30268;30459;29885;30369;31475;30623;28696;28149;27393;25144;23330
Luxembourg;5477;5596;5638;5874;5639;6026;6115;6070;6115;6050;6174;6274;6230;6459;6690
Hungary;97613;99149;96442;90335;88049;90269;89524;93281;92135;95361;94646;93467;93100;93807;94003
Malta;3765;4013;4029;3898;4165;4130;4032;4191;4325;4476;4319;4444;4350;4414;4395
Netherlands;181336;184634;184915;184397;180060;175959;171341;175181;170510;172520;169836;168525;169680;168681;179441
Austria;76250;77752;76344;78742;78109;78952;79330;81722;84381;87675;87633;85535;84952;83603;86078
Poland;387873;414499;417589;413300;388416;386257;369576;375160;369308;382257;401982;388178;374954;355309;331511
Portugal;102492;104594;99491;101381;96855;89841;82787;82367;85500;87126;86154;87020;86579;84530;79582
Romania;214728;221900;222388;212199;196242;201104;188599;198740;201995;205773;210590;202744;199720;198302;193191
Slovenia;19823;21817;21856;22343;21947;21938;21111;21165;20641;20345;20241;19585;19328;18767;18984
Slovakia;54424;57360;61217;60410;60813;55535;54823;55033;55602;57557;57969;57639;57054;56650;56565
Finland;58729;59530;60430;60980;59961;59493;58134;57232;55472;52814;50321;47577;45613;46463;49594
Sweden;107421;109301;111801;115641;111770;113177;113593;114907;114870;117425;115416;115832;114523;113077;114263
Iceland;4560;4835;5026;4907;4492;4533;4326;4375;4129;4034;4071;4228;4452;4512;4879
Liechtenstein;351;350;406;329;395;357;339;372;325;378;338;378;356;353;375
Norway;58459;60497;61807;61442;60220;60255;58878;58976;58815;58890;56633;55120;54495;52979;56060
Switzerland;74494;76691;78286;80290;80808;82164;82731;85287;86559;87883;87381;87851;86172;85914;89644
Bosnia and Herzegovina;33835;34176;34550;33528;;32547;;;;;;;;;
Montenegro;7834;8258;8642;7418;7215;7459;7475;7529;7386;7569;7432;7264;7223;7097;7033
Moldova;37973;39018;40803;40474;39182;39435;37871;38616;;37394;;;;30730;
North Macedonia;22688;22945;23684;24296;22770;23568;23138;23596;23075;23002;21754;21333;19845;19031;18648
Albania;33163;36251;;;;;35750;35760;32715;31733;30869;28934;28561;28075;27211
Serbia;68102;69083;70299;68304;65598;67257;65554;66461;65657;64734;64894;63975;64399;61692;62180
Türkiye;1266503;1262333;1263289;1238970;1241412;1279864;1283062;1337504;1325783;1309771;1291055;1248847;1183652;1112859;
Ukraine;472657;510589;512525;497689;502595;520705;503657;465882;411781;397037;363987;335874;308817;293457;271983
Georgia;49287;56565;;62585;;;57878;60635;59249;56569;53293;51138;48296;46520;
Andorra;826;875;838;828;793;737;;;;;;543;;;
Belarus;103626;107876;109263;108050;109147;;;118534;119028;117779;102556;94042;;;
Russia;1610122;1713947;1761687;1788948;1796629;;1895822;1913472;;;;;;;
San Marino;292;349;;;;292;;;;;228;;;;
Armenia;40105;41185;44413;44825;;;;43031;41763;40592;37700;36574;;36353;
Azerbaijan;151963;152086;152139;165643;;174469;172671;170503;166210;159464;144041;138982;141179;126571;
