;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Belgium;63481;65370;65168;66527;65891;65338;64371;64173;62561;62428;61179;60398;59912;58507;60509
Bulgaria;38822;39986;41312;38836;36533;35662;34044;34735;34069;33375;32787;32144;31515;30372;30073
Czechia;58475;61326;60368;60220;55789;55536;54702;56410;56817;57837;58671;58256;57585;56276;57179
Denmark;32815;33531;32261;32465;30014;29785;28590;29254;29848;31781;31467;31611;31519;31175;32572
Germany;351839;349862;341249;347237;339899;345629;349820;366835;378478;405587;402517;404052;399292;397385;408474
Estonia;8100;8259;8022;8166;7555;7192;6901;6921;7172;7365;7191;7345;7212;6736;6813
Ireland;36487;38619;38682;38395;37898;36890;35340;34681;33480;32709;31779;31306;30270;28902;30969
Greece;57959;60966;60832;59127;54862;51654;48430;47384;47294;47882;45686;44525;42945;43531;43998
Spain;253163;267680;255271;250045;242556;233688;218375;220034;215503;210091;201442;190584;184518;174505;173867
France;419576;422628;422370;426270;420977;420806;415762;418721;409145;401388;394058;388944;385340;376187;379534
Croatia;21460;22482;22877;22423;21177;21687;20731;20374;19379;19072;18845;19078;18478;18389;18968
Italy;290330;296138;292767;289185;281070;274613;264260;258542;249950;243080;235733;226217;215387;208431;205189
Cyprus;4466;4727;4904;4994;4891;5304;4736;4867;4824;4887;4765;4771;4850;5190;5270
Latvia;12195;12442;11202;10246;9649;10257;10458;11230;11442;11385;10797;9995;9629;9036;8969
Lithuania;15348;16241;16519;15731;15656;15560;15221;15565;16201;15847;14775;14362;14086;13029;11891
Luxembourg;2754;2874;2916;2960;2913;3089;3129;3139;3168;3077;3171;3196;3107;3296;3417
Hungary;50033;50823;49565;46279;45390;46674;45995;47836;47350;48959;48591;48008;47984;48273;48483
Malta;1980;2092;2087;2000;2116;2141;2109;2223;2208;2365;2215;2278;2260;2283;2245
Netherlands;92560;94838;94619;94129;92353;90180;87957;89510;87427;88587;87159;86204;86893;86497;91817
Austria;38940;40126;39072;40331;40395;40822;40953;42162;43604;45051;45253;43796;43580;42934;44237
Poland;199338;212946;214908;214428;199921;198696;189917;193091;189677;196221;206410;199820;192685;182300;170136
Portugal;52683;53976;50873;51535;49688;46161;42220;42427;43685;44789;44072;44309;44539;43451;40762
Romania;110459;114337;114422;109057;100985;103354;97221;102168;104193;105622;108146;104005;102401;102340;99294
Slovenia;10152;11126;11309;11504;11248;11319;10804;10928;10606;10366;10483;10157;9977;9693;9822
Slovakia;27903;29354;31563;30544;31114;28671;28068;28100;28668;29479;29773;29674;29143;28928;28761
Finland;30136;30415;30795;31309;30546;30308;29858;29272;28469;26812;25674;24630;23186;23778;25287
Sweden;55259;56352;57564;59385;57205;58171;58472;59098;59502;60199;59256;59534;59002;58255;58485
Iceland;2359;2470;2561;2523;2326;2317;2129;2233;2119;2042;2112;2242;2267;2385;2576
Liechtenstein;184;190;226;165;203;189;179;208;177;192;176;192;182;165;194
Norway;30004;31136;31833;31461;31006;30933;30084;30323;30242;30386;29173;28430;28042;27063;28684
Switzerland;38184;39549;40407;41111;41626;42435;42595;43850;44649;44932;44873;45013;44123;44299;45928
Bosnia and Herzegovina;17534;17585;18001;17277;;16790;;;;;;;;;
Montenegro;4136;4313;4597;3809;3754;3889;3877;3947;3868;3850;3873;3771;3777;3674;3648
Moldova;19646;20098;21089;20781;20176;20380;19422;19937;;19304;;;;16111;
North Macedonia;11772;11826;12340;12631;11752;12243;12093;12172;11959;11868;11160;11173;10276;9796;9531
Albania;17639;19113;;;;;18661;18683;17103;16401;16208;15025;14893;14486;14101
Serbia;;35808;36450;34981;33933;34531;33710;34329;34004;33477;33321;33208;33137;31783;31971
Türkiye;;;649757;636722;637762;657184;659740;687255;680298;672508;662928;641056;606861;570892;
Ukraine;243241;263588;264844;256835;259433;268748;259738;240043;212846;205194;187528;173417;159792;151568;140197
Georgia;;31720;;32488;;;30027;31325;30902;28887;27658;26538;25029;24289;
Andorra;435;436;397;427;413;364;;;;;;293;;;
Belarus;53406;55598;56323;55714;56113;;;61276;61377;60647;52712;48240;;;
Russia;828772;880543;905380;919639;923804;;974303;984552;;;;;;;
San Marino;141;169;;;;146;;;;;121;;;;
Armenia;21460;22081;23652;23969;;;;22869;22133;21445;19731;19252;;19054;
Azerbaijan;82005;81808;82216;89134;;93587;92574;91410;88415;84909;76584;74224;75160;67407;
